text,label
Send data,SUBMIT_FORM
Send form,SUBMIT_FORM
Finished,SUBMIT_FORM
Save data,SUBMIT_FORM
Complete,SUBMIT_FORM
Confirm form,SUBMIT_FORM
Submit information,SUBMIT_FORM
Send entry,SUBMIT_FORM
I'm done,SUBMIT_FORM
Save and close,SUBMIT_FORM
Finalize,SUBMIT_FORM
Submit my input,SUBMIT_FORM
Send details,SUBMIT_FORM
All done,SUBMIT_FORM
Save changes,SUBMIT_FORM
Apply,SUBMIT_FORM
Confirm data,SUBMIT_FORM
Submit this,SUBMIT_FORM
Send it,SUBMIT_FORM
Finished with form,SUBMIT_FORM
Save document,SUBMIT_FORM
Process,SUBMIT_FORM
Submit the form,SUBMIT_FORM
Send the data,SUBMIT_FORM
I'm finished,SUBMIT_FORM
Save this form,SUBMIT_FORM
Complete form,SUBMIT_FORM
Finalize data,SUBMIT_FORM
Submit and close,SUBMIT_FORM
Send the entry,SUBMIT_FORM
Done with this,SUBMIT_FORM
Save and exit,SUBMIT_FORM
Go,SUBMIT_FORM
Confirm and submit,SUBMIT_FORM
Submit form data,SUBMIT_FORM
Send info,SUBMIT_FORM
Task completed,SUBMIT_FORM
Save everything,SUBMIT_FORM
Execute form,SUBMIT_FORM
Submit my form,SUBMIT_FORM
Send current data,SUBMIT_FORM
Finished here,SUBMIT_FORM
Save the form,SUBMIT_FORM
Complete the form,SUBMIT_FORM
Finalize the input,SUBMIT_FORM
Submit the information,SUBMIT_FORM
Send the details,SUBMIT_FORM
I am done,SUBMIT_FORM
Save current form,SUBMIT_FORM
Apply changes,SUBMIT_FORM
Confirm and send,SUBMIT_FORM
Submit entry,SUBMIT_FORM
Send form content,SUBMIT_FORM
That's it,SUBMIT_FORM
Save and next,SUBMIT_FORM
Process form,SUBMIT_FORM
Submit all,SUBMIT_FORM
Send everything,SUBMIT_FORM
Done editing,SUBMIT_FORM
Save and continue,SUBMIT_FORM
Accept,SUBMIT_FORM
Confirm completion,SUBMIT_FORM
Submit now,SUBMIT_FORM
Send the form now,SUBMIT_FORM
Finished input,SUBMIT_FORM
Save the data,SUBMIT_FORM
Fill out and submit,SUBMIT_FORM
Finalize the form,SUBMIT_FORM
Submit and save,SUBMIT_FORM
Send my data,SUBMIT_FORM
All completed,SUBMIT_FORM
Save my work,SUBMIT_FORM
Confirm submission,SUBMIT_FORM
Submit the current form,SUBMIT_FORM
Send the entire form,SUBMIT_FORM
Input complete,SUBMIT_FORM
Save the current data,SUBMIT_FORM
Apply form,SUBMIT_FORM
Confirm all,SUBMIT_FORM
Submit these details,SUBMIT_FORM
Send this form,SUBMIT_FORM
I'm good,SUBMIT_FORM
Save the current entry,SUBMIT_FORM
Complete the entry,SUBMIT_FORM
Finalize submission,SUBMIT_FORM
Submit the response,SUBMIT_FORM
Send it in,SUBMIT_FORM
