text,label
Show previous,PREVIOUS_ITEM
Go back one item,PREVIOUS_ITEM
Move up,PREVIOUS_ITEM
Display previous item,PREVIOUS_ITEM
Navigate to previous,PREVIOUS_ITEM
Last one,PREVIOUS_ITEM
Return to previous item,PREVIOUS_ITEM
Scroll up,PREVIOUS_ITEM
Go to the one before,PREVIOUS_ITEM
Backward,PREVIOUS_ITEM
Show me the previous item,PREVIOUS_ITEM
Move to previous,PREVIOUS_ITEM
Prior,PREVIOUS_ITEM
Back,PREVIOUS_ITEM
Previous entry,PREVIOUS_ITEM
Go back a step,PREVIOUS_ITEM
Up one,PREVIOUS_ITEM
Go to the last item,PREVIOUS_ITEM
Former item,PREVIOUS_ITEM
Back one,PREVIOUS_ITEM
Show the item before,PREVIOUS_ITEM
Move to the item above,PREVIOUS_ITEM
Prev,PREVIOUS_ITEM
Go to the prior item,PREVIOUS_ITEM
Preceding item,PREVIOUS_ITEM
Display the last item,PREVIOUS_ITEM
Take me to the previous,PREVIOUS_ITEM
Move up one,PREVIOUS_ITEM
Before,PREVIOUS_ITEM
One back,PREVIOUS_ITEM
Previous record,PREVIOUS_ITEM
Go to prior,PREVIOUS_ITEM
Show the item preceding this,PREVIOUS_ITEM
Move to the item that came before,PREVIOUS_ITEM
Get previous,PREVIOUS_ITEM
Show me the one before,PREVIOUS_ITEM
Earlier item,PREVIOUS_ITEM
Backwards,PREVIOUS_ITEM
Go to the item just before,PREVIOUS_ITEM
Previous selection,PREVIOUS_ITEM
Show the last,PREVIOUS_ITEM
Move up a notch,PREVIOUS_ITEM
The one before,PREVIOUS_ITEM
Go back an item,PREVIOUS_ITEM
Previous page,PREVIOUS_ITEM
Display the preceding,PREVIOUS_ITEM
Navigate backward,PREVIOUS_ITEM
Up a level,PREVIOUS_ITEM
Prior record,PREVIOUS_ITEM
Step back,PREVIOUS_ITEM
Show prior item,PREVIOUS_ITEM
Move to the earlier item,PREVIOUS_ITEM
Go back to the last one,PREVIOUS_ITEM
Previous choice,PREVIOUS_ITEM
Display the previous entry,PREVIOUS_ITEM
Take me back to the previous,PREVIOUS_ITEM
Scroll back,PREVIOUS_ITEM
Go up,PREVIOUS_ITEM
Show me the previous selection,PREVIOUS_ITEM
