text,label
Pick this,SELECT_ITEM
Choose task,SELECT_ITEM
Select the item,SELECT_ITEM
Mark this item,SELECT_ITEM
Activate item,SELECT_ITEM
Click task,SELECT_ITEM
Make this active,SELECT_ITEM
Toggle this,SELECT_ITEM
Select the task,SELECT_ITEM
Select this entry,SELECT_ITEM
Choose item,SELECT_ITEM
Engage this item,SELECT_ITEM
Hit this item,SELECT_ITEM
Opt for this task,SELECT_ITEM
Select current item,SELECT_ITEM
Switch this on,SELECT_ITEM
Choose this record,SELECT_ITEM
Pick the item,SELECT_ITEM
Select it,SELECT_ITEM
Highlight this task,SELECT_ITEM
Toggle the item,SELECT_ITEM
Select that task,SELECT_ITEM
Choose this element,SELECT_ITEM
Activate the item,SELECT_ITEM
Click on this,SELECT_ITEM
Select the current task,SELECT_ITEM
Mark this as selected,SELECT_ITEM
Choose this item,SELECT_ITEM
Engage the task,SELECT_ITEM
Toggle current item,SELECT_ITEM
Select this particular item,SELECT_ITEM
Pick a task,SELECT_ITEM
Choose that item,SELECT_ITEM
Highlight the item,SELECT_ITEM
Click to select,SELECT_ITEM
Select this field,SELECT_ITEM
Switch item,SELECT_ITEM
Choose this option,SELECT_ITEM
Select the entry,SELECT_ITEM
Activate this task,SELECT_ITEM
Toggle the task,SELECT_ITEM
Select specific item,SELECT_ITEM
Choose the task,SELECT_ITEM
Mark the item,SELECT_ITEM
Click to activate,SELECT_ITEM
Select the displayed item,SELECT_ITEM
Toggle selection,SELECT_ITEM
Choose the item,SELECT_ITEM
Pick that item,SELECT_ITEM
Select this instance,SELECT_ITEM
Activate the task,SELECT_ITEM
Click here to select,SELECT_ITEM
Select the current entry,SELECT_ITEM
Mark as chosen,SELECT_ITEM
Choose the current item,SELECT_ITEM
Engage the current item,SELECT_ITEM
Toggle the current task,SELECT_ITEM
Select the highlighted item,SELECT_ITEM
Pick the task,SELECT_ITEM
Choose this option here,SELECT_ITEM
Select this component,SELECT_ITEM
Activate selected item,SELECT_ITEM
Click on the task,SELECT_ITEM
Select this row,SELECT_ITEM
Toggle item selection,SELECT_ITEM
Choose this value,SELECT_ITEM
Select the indicated item,SELECT_ITEM
Mark the task,SELECT_ITEM
Click to choose,SELECT_ITEM
Select this element now,SELECT_ITEM
Toggle this entry,SELECT_ITEM
Choose this specific task,SELECT_ITEM
Select the item presented,SELECT_ITEM
Activate this component,SELECT_ITEM
Click on the currently viewed item,SELECT_ITEM
Select this choice,SELECT_ITEM
Toggle current selection,SELECT_ITEM
Choose this selection,SELECT_ITEM
Select the item on screen,SELECT_ITEM
Mark this entry,SELECT_ITEM
Click to toggle,SELECT_ITEM
Select the highlighted task,SELECT_ITEM
Toggle the chosen item,SELECT_ITEM
Choose the specific item,SELECT_ITEM
Select this data point,SELECT_ITEM
Activate the current task,SELECT_ITEM
Click on item,SELECT_ITEM
Select this particular task,SELECT_ITEM
Toggle this option,SELECT_ITEM
Choose the displayed item,SELECT_ITEM
Select the entry shown,SELECT_ITEM
Mark the current item,SELECT_ITEM
Click on the highlighted item,SELECT_ITEM
Select this option to activate,SELECT_ITEM
Toggle the data,SELECT_ITEM
Choose this one,SELECT_ITEM
Click this item,SELECT_ITEM
Select item,SELECT_ITEM
Toggle,SELECT_ITEM
Select,SELECT_ITEM
select item three,SELECT_ITEM
choose this particular one,SELECT_ITEM
toggle selection for task,SELECT_ITEM
mark this as selected,SELECT_ITEM
select the highlighted item,SELECT_ITEM
pick that one now,SELECT_ITEM
select current item,SELECT_ITEM
make this active,SELECT_ITEM
enable selection,SELECT_ITEM
highlight this item,SELECT_ITEM
select this,SELECT_ITEM
choose this item,SELECT_ITEM
toggle the selection,SELECT_ITEM
mark as chosen,SELECT_ITEM
select the entry,SELECT_ITEM
pick this item,SELECT_ITEM
select the current,SELECT_ITEM
make this chosen,SELECT_ITEM
enable the selection,SELECT_ITEM
highlight current,SELECT_ITEM
select an item,SELECT_ITEM
choose an item,SELECT_ITEM
toggle the current,SELECT_ITEM
mark this item,SELECT_ITEM
select the current item,SELECT_ITEM
pick the item,SELECT_ITEM
select it,SELECT_ITEM
make it active,SELECT_ITEM
enable this,SELECT_ITEM
highlight the selection,SELECT_ITEM
select the choice,SELECT_ITEM
choose the one,SELECT_ITEM
toggle the selection now,SELECT_ITEM
mark as selected now,SELECT_ITEM
select the displayed,SELECT_ITEM
pick the highlighted,SELECT_ITEM
select the option,SELECT_ITEM
make this the one,SELECT_ITEM
enable option,SELECT_ITEM
highlight chosen,SELECT_ITEM
select this option,SELECT_ITEM
choose the displayed,SELECT_ITEM
toggle this,SELECT_ITEM
mark current as selected,SELECT_ITEM
select the single item,SELECT_ITEM
pick the current,SELECT_ITEM
select the current choice,SELECT_ITEM
make this the focus,SELECT_ITEM
enable the option,SELECT_ITEM
highlight the option,SELECT_ITEM
select the element,SELECT_ITEM
choose the element,SELECT_ITEM
toggle current selection,SELECT_ITEM
