text,label
Display details,VIEW_ITEM
Show me item information,VIEW_ITEM
Look at item,VIEW_ITEM
See task details,VIEW_ITEM
View more about this,VIEW_ITEM
Give me the item's specifics,VIEW_ITEM
Check out item,VIEW_ITEM
Present task view,VIEW_ITEM
Show full details,VIEW_ITEM
What are the item details?,VIEW_ITEM
Examine item,VIEW_ITEM
Display the task,VIEW_ITEM
Access details,VIEW_ITEM
Show me more about this item,VIEW_ITEM
Inspect item,VIEW_ITEM
Open task details,VIEW_ITEM
Get item details,VIEW_ITEM
Can I see item information?,VIEW_ITEM
Review item,VIEW_ITEM
Provide task details,VIEW_ITEM
Details of item,VIEW_ITEM
View specific item,VIEW_ITEM
Look up item,VIEW_ITEM
Display details of this task,VIEW_ITEM
Show item info,VIEW_ITEM
What details does this item have?,VIEW_ITEM
Check details of item,VIEW_ITEM
View the task,VIEW_ITEM
Retrieve item details,VIEW_ITEM
Present item details,VIEW_ITEM
Find item info,VIEW_ITEM
Show task overview,VIEW_ITEM
Access item details please,VIEW_ITEM
Can you show me item details?,VIEW_ITEM
Delve into item,VIEW_ITEM
View the specifics of this task,VIEW_ITEM
Show me the item's full details,VIEW_ITEM
Information about item,VIEW_ITEM
See item,VIEW_ITEM
Details for this task,VIEW_ITEM
Display all item details,VIEW_ITEM
Tell me about the item,VIEW_ITEM
Investigate item,VIEW_ITEM
Show the current task,VIEW_ITEM
Open item details,VIEW_ITEM
What are the full details of this item?,VIEW_ITEM
Explore item,VIEW_ITEM
Get task view,VIEW_ITEM
Give me item data,VIEW_ITEM
Show item properties,VIEW_ITEM
Examine the item,VIEW_ITEM
Display information on this task,VIEW_ITEM
Item details please,VIEW_ITEM
View this particular item,VIEW_ITEM
Lookup item details,VIEW_ITEM
Present the task,VIEW_ITEM
See full item information,VIEW_ITEM
Query item details,VIEW_ITEM
Get details on item,VIEW_ITEM
Show me this task's details,VIEW_ITEM
View the full item,VIEW_ITEM
Reveal item details,VIEW_ITEM
Look at the item's info,VIEW_ITEM
Display the specifics of this task,VIEW_ITEM
Read item details,VIEW_ITEM
What's the info for this item?,VIEW_ITEM
Scrutinize item,VIEW_ITEM
View specific task,VIEW_ITEM
Show specific item details,VIEW_ITEM
Display the item's data,VIEW_ITEM
See the item's full info,VIEW_ITEM
Present task info,VIEW_ITEM
Show the data for this item,VIEW_ITEM
Can you show me the task details?,VIEW_ITEM
View item's attributes,VIEW_ITEM
Show item's characteristics,VIEW_ITEM
Inspect the item's details,VIEW_ITEM
Display details for task,VIEW_ITEM
Get item info,VIEW_ITEM
Show more info on item,VIEW_ITEM
Review item details,VIEW_ITEM
Access the task's details,VIEW_ITEM
Give item specifics,VIEW_ITEM
Show the item's overview,VIEW_ITEM
Look at the item's full details,VIEW_ITEM
View details of task,VIEW_ITEM
Show item description,VIEW_ITEM
What about the item?,VIEW_ITEM
Examine task details,VIEW_ITEM
Display full item data,VIEW_ITEM
Show me the details of this item,VIEW_ITEM
Open the item view,VIEW_ITEM
Give details about this task,VIEW_ITEM
Show properties of item,VIEW_ITEM
View details,VIEW_ITEM
Show item details,VIEW_ITEM
View item,VIEW_ITEM
Display item,VIEW_ITEM
View this task,VIEW_ITEM
View more details,VIEW_ITEM
view details of this,VIEW_ITEM
show me more about it,VIEW_ITEM
display item information,VIEW_ITEM
tell me about the item,VIEW_ITEM
open item view,VIEW_ITEM
inspect the selected record,VIEW_ITEM
details please now,VIEW_ITEM
show item properties,VIEW_ITEM
what is this item,VIEW_ITEM
get item info,VIEW_ITEM
view more details,VIEW_ITEM
show detailed info,VIEW_ITEM
display the details,VIEW_ITEM
tell me about this,VIEW_ITEM
open the item,VIEW_ITEM
inspect this item,VIEW_ITEM
details of selection,VIEW_ITEM
show object properties,VIEW_ITEM
what's in this,VIEW_ITEM
