text,label
Negative,CANCEL
Don't do that,CANCEL
Cancel that,CANCEL
Hold on,CANCEL
Not really,CANCEL
Undo,CANCEL
No thank you,CANCEL
Forget it,CANCEL
Cease,CANCEL
Disregard,CANCEL
I've changed my mind,CANCEL
Back out,CANCEL
No stop,CANCEL
Abort,CANCEL
Withdraw,CANCEL
Decline,CANCEL
I don't want that,CANCEL
Hold off,CANCEL
Don't proceed,CANCEL
Nullify,CANCEL
Reverse that,CANCEL
No more,CANCEL
Cut it out,CANCEL
Retract,CANCEL
Invalidate,CANCEL
I'm not interested,CANCEL
Hold everything,CANCEL
Stop that action,CANCEL
Scrap that,CANCEL
Countermand,CANCEL
Take it back,CANCEL
Not doing it,CANCEL
Halt,CANCEL
Cancel the operation,CANCEL
Forget about it,CANCEL
Recant,CANCEL
I disagree,CANCEL
Stand by,CANCEL
Terminate,CANCEL
Call it off,CANCEL
Set aside,CANCEL
Don't bother,CANCEL
No wait,CANCEL
Cancel command,CANCEL
Give up,CANCEL
Reject,CANCEL
I'll pass,CANCEL
Wait,CANCEL
End,CANCEL
Put a stop to it,CANCEL
Dismiss,CANCEL
I'm not going forward,CANCEL
Cancel the request,CANCEL
Freeze,CANCEL
No that's wrong,CANCEL
Quit,CANCEL
Revoke,CANCEL
Don't continue,CANCEL
Pause,CANCEL
Stop everything,CANCEL
Overturn,CANCEL
I'm pulling back,CANCEL
Cancel this,CANCEL
Deactivate,CANCEL
I don't approve,CANCEL
Hold it,CANCEL
Discontinue,CANCEL
Annul,CANCEL
I changed my mind,CANCEL
Cancel the action,CANCEL
Don't execute,CANCEL
Block,CANCEL
Refuse,CANCEL
Not now,CANCEL
Put a halt to it,CANCEL
Veto,CANCEL
I don't want to proceed,CANCEL
Cancel current action,CANCEL
Cut,CANCEL
Pull the plug,CANCEL
I don't think so,CANCEL
Hold the line,CANCEL
Desist,CANCEL
Rescind,CANCEL
No abort,CANCEL
Ignore that,CANCEL
Do not proceed,CANCEL
Cancel transaction,CANCEL
Cease and desist,CANCEL
I'm backing out,CANCEL
Don't run that,CANCEL
Cancel this operation,CANCEL
I don't want this,CANCEL
Stop what you're doing,CANCEL
Forget the last thing,CANCEL
No,CANCEL
Nope,CANCEL
Never mind,CANCEL
Stop,CANCEL
Stop it,CANCEL
no cancel that,CANCEL
cancel this operation,CANCEL
stop the process,CANCEL
abort this action,CANCEL
never mind forget,CANCEL
discard all changes,CANCEL
do not proceed,CANCEL
cancel everything,CANCEL
withdraw my request,CANCEL
halt current task,CANCEL
no stop it,CANCEL
cancel the current,CANCEL
abandon this plan,CANCEL
revert my input,CANCEL
cancel this step,CANCEL
do not save,CANCEL
close without saving,CANCEL
exit without changes,CANCEL
cancel the current action,CANCEL
back out now,CANCEL
no cancel now,CANCEL
cancel this process,CANCEL
discard this work,CANCEL
abort current,CANCEL
stop that task,CANCEL
cancel all changes,CANCEL
undo the operation,CANCEL
reverse this,CANCEL
do not go on,CANCEL
cancel my action,CANCEL
no thank you,CANCEL
cancel this entry,CANCEL
stop the current,CANCEL
halt all operations,CANCEL
discard the entry,CANCEL
cancel my input,CANCEL
cancel this request,CANCEL
do not continue,CANCEL
no stop right there,CANCEL
cancel my selections,CANCEL
cancel the current task,CANCEL
discard the current,CANCEL
abort the current process,CANCEL
stop now please,CANCEL
cancel my previous,CANCEL
do not accept,CANCEL
cancel my submission,CANCEL
cancel the current work,CANCEL
discard this operation,CANCEL
stop everything,CANCEL
cancel my choice,CANCEL
do not apply,CANCEL
cancel my current,CANCEL
stop this operation,CANCEL
abort this request,CANCEL
discard everything,CANCEL
cancel this entry now,CANCEL
do not save changes,CANCEL
cancel this step now,CANCEL
stop current process,CANCEL
cancel the input,CANCEL
no do not,CANCEL
cancel my last,CANCEL
stop the input,CANCEL
cancel the task,CANCEL
discard my input,CANCEL
cancel this data,CANCEL
do not save this,CANCEL
cancel the current action now,CANCEL
stop this command,CANCEL
cancel current choice,CANCEL
do not run this,CANCEL
cancel my command,CANCEL
stop my action,CANCEL
discard my action,CANCEL
cancel this process now,CANCEL
no do not proceed,CANCEL
cancel my selections now,CANCEL
stop the current input,CANCEL
cancel my current action,CANCEL
discard the form,CANCEL
cancel this interaction,CANCEL
do not continue with this,CANCEL
cancel the entered data,CANCEL
stop the current command,CANCEL
cancel my plan,CANCEL
do not apply changes,CANCEL
cancel my choice please,CANCEL
stop this immediately,CANCEL
cancel the transaction,CANCEL
no do not continue,CANCEL
stop this operation,CANCEL
abort the current process,CANCEL
never proceed,CANCEL
discard my input,CANCEL
do not accept this,CANCEL
cancel my action now,CANCEL
stop current task,CANCEL
abort this action now,CANCEL
discard the entries,CANCEL
cancel that,CANCEL
forget it,CANCEL
never mind,CANCEL
stop this,CANCEL
end action,CANCEL
abort mission,CANCEL
drop it,CANCEL
quit now,CANCEL
don't continue,CANCEL
scrap that,CANCEL
stop the process,CANCEL
cancel operation,CANCEL
forget about it,CANCEL
call it off,CANCEL
stop everything,CANCEL
end that,CANCEL
don't go on,CANCEL
halt this,CANCEL
abort process,CANCEL
no thanks,CANCEL
leave it,CANCEL
that's enough,CANCEL
I changed my mind,CANCEL
disregard that,CANCEL
cut it short,CANCEL
cancel request,CANCEL
stop running,CANCEL
please cancel,CANCEL
cancel it,CANCEL
drop this task,CANCEL
forget the last command,CANCEL
ignore what I said,CANCEL
don't do that,CANCEL
cancel command,CANCEL
terminate action,CANCEL
don't proceed,CANCEL
end the task,CANCEL
cancel action,CANCEL
stop all that,CANCEL
hold off,CANCEL
don't finish,CANCEL
kill the process,CANCEL
withdraw it,CANCEL
forget my request,CANCEL
undo that command,CANCEL
let's not,CANCEL
stop right there,CANCEL
forget this,CANCEL
stop now,CANCEL
don't continue with that,CANCEL
cancel current process,CANCEL
no need,CANCEL
forget my last input,CANCEL
never mind that,CANCEL
cancel everything,CANCEL
don't perform that,CANCEL
cancel my request,CANCEL
ignore that input,CANCEL
cancel this process,CANCEL
just cancel,CANCEL
I don't want that,CANCEL
skip that,CANCEL
cancel my action,CANCEL
no longer needed,CANCEL
forget that step,CANCEL
cancel the task,CANCEL
stop execution,CANCEL
forget operation,CANCEL
abort it,CANCEL
don't submit,CANCEL
cancel submission,CANCEL
halt action,CANCEL
ignore command,CANCEL
stop and cancel,CANCEL
cancel immediately,CANCEL
forget the action,CANCEL
don't move forward,CANCEL
abort everything,CANCEL
cancel procedure,CANCEL
terminate this,CANCEL
forget what I said earlier,CANCEL
cancel that part,CANCEL
stop the current one,CANCEL
cancel previous one,CANCEL
stop doing that,CANCEL
cancel previous task,CANCEL
forget last action,CANCEL
don't go ahead,CANCEL
cancel right away,CANCEL
cancel previous command,CANCEL
halt immediately,CANCEL
no need to continue,CANCEL
cancel this one,CANCEL
forget entire thing,CANCEL
skip current task,CANCEL
stop that request,CANCEL
don't carry on,CANCEL
abort entire process,CANCEL
please stop,CANCEL
don't proceed further,CANCEL
cancel my last command,CANCEL
cancel current task,CANCEL
call it quits,CANCEL
let's cancel,CANCEL
no continue,CANCEL
that's not needed,CANCEL
halt now,CANCEL
forget all that,CANCEL
ignore last request,CANCEL
cancel the change,CANCEL
don't make changes,CANCEL
cancel everything done,CANCEL
stop before saving,CANCEL
cancel it please,CANCEL
forget this command,CANCEL
cancel before submission,CANCEL
withdraw the request,CANCEL
cancel input,CANCEL
stop updating,CANCEL
cancel and return,CANCEL
stop process now,CANCEL
cancel that please,CANCEL
no longer proceed,CANCEL
abort the update,CANCEL
stop modification,CANCEL
don't execute,CANCEL
halt all operations,CANCEL
please abort,CANCEL
cancel pending work,CANCEL
no further action,CANCEL
cancel data entry,CANCEL
stop data submission,CANCEL
cancel upload,CANCEL
abort upload,CANCEL
cancel download,CANCEL
stop download,CANCEL
don't run that,CANCEL
cancel installation,CANCEL
abort installation,CANCEL
stop installation,CANCEL
cancel setup,CANCEL
cancel now,CANCEL
cancel editing,CANCEL
stop editing,CANCEL
forget edits,CANCEL
cancel form,CANCEL
don't apply changes,CANCEL
cancel transaction,CANCEL
stop payment,CANCEL
cancel payment,CANCEL
abort payment,CANCEL
stop transfer,CANCEL
cancel transfer,CANCEL
cancel operation please,CANCEL
stop task,CANCEL
cancel that command,CANCEL
forget current operation,CANCEL
ignore task,CANCEL
cancel now please,CANCEL
please stop process,CANCEL
end operation,CANCEL
stop running process,CANCEL
cancel loading,CANCEL
stop loading,CANCEL
don't continue loading,CANCEL
cancel file operation,CANCEL
cancel print,CANCEL
abort print,CANCEL
stop printing,CANCEL
cancel printing job,CANCEL
cancel order,CANCEL
cancel request please,CANCEL
abort task,CANCEL
stop ongoing action,CANCEL
cancel my last action,CANCEL
forget ongoing process,CANCEL
stop this operation,CANCEL
cancel current action,CANCEL
ignore my last command,CANCEL
cancel previous process,CANCEL
abort all,CANCEL
cancel all actions,CANCEL
stop all actions,CANCEL
cancel that input,CANCEL
stop this process,CANCEL
cancel this command,CANCEL
ignore what I just said,CANCEL
cancel and exit,CANCEL
cancel the process please,CANCEL
don't continue this process,CANCEL
stop here,CANCEL
cancel everything right now,CANCEL
stop current job,CANCEL
cancel job,CANCEL
stop job,CANCEL
abort job,CANCEL
don't execute further,CANCEL
cancel that process,CANCEL
stop and exit,CANCEL
cancel this step,CANCEL
cancel this task please,CANCEL
forget step,CANCEL
abort current step,CANCEL
cancel ongoing operation,CANCEL
don't move on,CANCEL
cancel that request please,CANCEL
forget everything I said,CANCEL
cancel at once,CANCEL
cancel now right away,CANCEL
abort everything please,CANCEL
cancel all pending tasks,CANCEL
stop all tasks,CANCEL
cancel task please,CANCEL
stop current operation immediately,CANCEL
cancel whatever is happening,CANCEL
stop that immediately,CANCEL
cancel all operations,CANCEL
cancel right now,CANCEL
end process,CANCEL
stop everything right now,CANCEL
forget it please,CANCEL
cancel current workflow,CANCEL
abort the workflow,CANCEL
stop workflow,CANCEL
cancel current sequence,CANCEL
cancel that function,CANCEL
stop this function,CANCEL
cancel pending process,CANCEL
abort current function,CANCEL
cancel running process,CANCEL
cancel this session,CANCEL
cancel the session,CANCEL
end session,CANCEL
stop session,CANCEL
cancel command immediately,CANCEL
cancel right this second,CANCEL
don't perform operation,CANCEL
cancel queued operation,CANCEL
