text,label
I need assistance,HELP
Can you provide some guidance?,HELP
What are your functionalities?,HELP
List all available commands,HELP
Guide me,HELP
Tell me what to do,HELP
I'm stuck help!,HELP
How do I use this?,HELP
Explain your features,HELP
Give me instructions,HELP
Provide support,HELP
Show me the ropes,HELP
What operations can you perform?,HELP
Need some aid,HELP
I require help,HELP
Assist me please,HELP
What are my options?,HELP
Display command list,HELP
Walk me through it,HELP
I'm looking for help,HELP
Can you assist me?,HELP
What's possible here?,HELP
Commands please,HELP
Help me understand,HELP
I need some help,HELP
Guidance requested,HELP
Show me how this works,HELP
What functions do you have?,HELP
Could you help me out?,HELP
What can I ask you?,HELP
List commands,HELP
I'm seeking help,HELP
Support me,HELP
How can you aid me?,HELP
Capabilities,HELP
All commands,HELP
Help menu,HELP
I'm confused help,HELP
Show options,HELP
What services do you offer?,HELP
Help me please,HELP
Can you guide me?,HELP
What's your functionality?,HELP
Display all commands,HELP
I need assistance what can you do?,HELP
Give me the help list,HELP
What are the commands?,HELP
How to use you?,HELP
Tell me about your commands,HELP
Show available actions,HELP
I'm lost help me,HELP
What is your purpose?,HELP
Help command,HELP
I need some guidance,HELP
Can you give me help?,HELP
What's the help command?,HELP
Show commands list,HELP
Assistance needed,HELP
What are the possible commands?,HELP
Guide me through this,HELP
Help desk,HELP
I need help navigating,HELP
How does this work?,HELP
What can you accomplish?,HELP
List of commands,HELP
I'm searching for help,HELP
Help with commands,HELP
How do I operate you?,HELP
What functions are there?,HELP
Show me your capabilities,HELP
Could you offer help?,HELP
Commands available,HELP
Help me get started,HELP
What can this system do?,HELP
I require your help,HELP
Can you show your functions?,HELP
Tell me about commands,HELP
Give me the full command list,HELP
I'm requesting help,HELP
Help and commands,HELP
What are the operational commands?,HELP
Guide on commands,HELP
I need to know what to do,HELP
Help me out,HELP
What is the command to get help?,HELP
Show me all your features,HELP
Can I get a list of commands?,HELP
What are the usage commands?,HELP
I'm looking for guidance,HELP
Please help,HELP
How to get assistance?,HELP
What can you assist with?,HELP
Show available help,HELP
I need command information,HELP
Help with functions,HELP
What commands can I use?,HELP
Please provide commands,HELP
I need to learn how to use this,HELP
What can you do?,HELP
Show commands,HELP
