text,label
Go back,UNDO
Reverse,UNDO
Un-do that,UNDO
Cancel last action,UNDO
Roll back,UNDO
Take it back,UNDO
I want to undo,UNDO
Revert last change,UNDO
Unmake that,UNDO
Previous state,UNDO
Restore,UNDO
Undo the last thing,UNDO
Go to previous,UNDO
Undo my last command,UNDO
Bring it back,UNDO
Remove last action,UNDO
Un-do the last operation,UNDO
Retract last,UNDO
Set back,UNDO
Undo that last step,UNDO
Cancel previous,UNDO
Undo everything,UNDO
Rewind,UNDO
Backtrack,UNDO
Take back the last,UNDO
Undo the recent action,UNDO
Reverse last command,UNDO
Restore previous state,UNDO
Undo last operation,UNDO
Go back a step,UNDO
Uncommit,UNDO
Cancel previous action,UNDO
Undo the action,UNDO
Roll back the last change,UNDO
Revert to prior,UNDO
Undo previous command,UNDO
Take that back,UNDO
Make it as it was,UNDO
Undo the very last thing,UNDO
Restore to before,UNDO
Undo last entry,UNDO
Go to the earlier version,UNDO
Cancel my last input,UNDO
Undo the change,UNDO
Revert the last action,UNDO
Un-do the prior command,UNDO
Bring it to a previous form,UNDO
Undo current action,UNDO
Back up,UNDO
Return to previous,UNDO
Undo recent,UNDO
Restore the last state,UNDO
Revert the current,UNDO
Take back the previous,UNDO
Undo last edit,UNDO
Go back one step,UNDO
Unperform,UNDO
Undo my last request,UNDO
Bring to prior,UNDO
Reverse the last action,UNDO
Undo the last modification,UNDO
Cancel the most recent action,UNDO
Undo that step,UNDO
Reset,UNDO
Undo current command,UNDO
Go back to what it was,UNDO
Undo the last process,UNDO
Reverse the current,UNDO
Undo the last entry,UNDO
Take back the most recent,UNDO
Unsubmit,UNDO
Undo the previous action,UNDO
Go to the last stable state,UNDO
Undo last entry please,UNDO
Cancel last step,UNDO
Undo the operation just done,UNDO
Revert to previous version,UNDO
Undo this,UNDO
Make it like before,UNDO
Undo the command I just gave,UNDO
Go back in time,UNDO
Undo last change please,UNDO
Revert to the old state,UNDO
Undo the most recent command,UNDO
Cancel the last operation,UNDO
Undo prior action,UNDO
Back one step,UNDO
Undo the effect,UNDO
Revert previous,UNDO
Un-execute,UNDO
Undo that last one,UNDO
Go to the earlier state,UNDO
Cancel the last change,UNDO
Undo last command please,UNDO
Undo,UNDO
Undo please,UNDO
Undo last,UNDO
Undo last change,UNDO
Revert,UNDO
Take back,UNDO
undo my last change,UNDO
revert the last action,UNDO
go back one step,UNDO
undo that operation,UNDO
take back my last move,UNDO
reverse the previous,UNDO
roll back current,UNDO
un do this,UNDO
previous step now,UNDO
cancel last edit,UNDO
undo current,UNDO
revert the change,UNDO
go back one stage,UNDO
undo the action,UNDO
take back my changes,UNDO
reverse my last,UNDO
roll back this,UNDO
un do the last,UNDO
previous action please,UNDO
cancel previous,UNDO
undo this action,UNDO
revert to previous,UNDO
go back the step,UNDO
undo current action,UNDO
take back my last input,UNDO
reverse the last command,UNDO
roll back to before,UNDO
un do everything,UNDO
previous state please,UNDO
cancel the last,UNDO
undo my last action,UNDO
revert this action,UNDO
go back one position,UNDO
undo the last move,UNDO
take back my entry,UNDO
reverse previous,UNDO
roll back the update,UNDO
un do the current,UNDO
previous change please,UNDO
cancel my last edit,UNDO
undo this change,UNDO
revert the last one,UNDO
go back one level,UNDO
undo my last step,UNDO
take back this,UNDO
reverse my action,UNDO
roll back the command,UNDO
un do the action,UNDO
previous input please,UNDO
cancel the prior,UNDO
undo this process,UNDO
revert to old,UNDO
go back a step,UNDO
undo my last command,UNDO
take back my last action,UNDO
reverse the current,UNDO
roll back my changes,UNDO
un do that operation,UNDO
previous option please,UNDO
cancel my previous action,UNDO
undo this entry,UNDO
revert the last input,UNDO
go back a move,UNDO
undo my last choice,UNDO
take back my last selection,UNDO
reverse the last input,UNDO
roll back the current,UNDO
un do my last action,UNDO
previous process please,UNDO
cancel the most recent,UNDO
undo this task,UNDO
revert to earlier,UNDO
go back one stage,UNDO
undo my last entry,UNDO
take back my current,UNDO
reverse the last step,UNDO
roll back my entry,UNDO
un do this input,UNDO
previous selection please,UNDO
cancel last operation,UNDO
undo this command,UNDO
revert to previous state,UNDO
go back a choice,UNDO
undo my last input,UNDO
take back my words,UNDO
reverse the current step,UNDO
roll back the choice,UNDO
un do my last input now,UNDO
previous command please,UNDO
cancel recent action,UNDO
undo this work,UNDO
revert to past,UNDO
go back one decision,UNDO
undo my last plan,UNDO
take back my action,UNDO
reverse the previous step,UNDO
roll back the action,UNDO
undo previous action,UNDO
revert the last step,UNDO
go back one move,UNDO
undo last action,UNDO
go back one step,UNDO
revert that change,UNDO
take back what I did,UNDO
cancel the last edit,UNDO
reverse my last move,UNDO
step back once,UNDO
undo previous step,UNDO
revert last update,UNDO
undo that mistake,UNDO
go one step back,UNDO
undo what I just did,UNDO
reverse that operation,UNDO
roll back my change,UNDO
remove last modification,UNDO
undo last command,UNDO
go back to before,UNDO
restore to previous state,UNDO
revert that input,UNDO
cancel my last move,UNDO
undo that typing,UNDO
delete my last entry,UNDO
take back that operation,UNDO
undo last adjustment,UNDO
undo the change I made,UNDO
revert last action I performed,UNDO
undo what happened,UNDO
backtrack one step,UNDO
undo recent action,UNDO
reverse my last click,UNDO
remove the last thing I did,UNDO
undo my last change,UNDO
go back to last version,UNDO
revert to before the edit,UNDO
undo my mistake,UNDO
undo this operation,UNDO
undo my last entry,UNDO
undo last modification I made,UNDO
revert that operation I did,UNDO
take one step back,UNDO
reverse the last modification,UNDO
go back a step,UNDO
revert my last decision,UNDO
undo the most recent thing,UNDO
cancel my last adjustment,UNDO
undo my previous command,UNDO
back out last change,UNDO
revert that last move,UNDO
roll back what I did,UNDO
remove my last edit,UNDO
undo my recent modification,UNDO
undo latest operation,UNDO
reverse the last update,UNDO
step back from last edit,UNDO
undo my previous input,UNDO
go back to the prior state,UNDO
undo what was changed,UNDO
revert my latest action,UNDO
undo what I typed last,UNDO
cancel that last update,UNDO
undo latest edit,UNDO
reverse that step,UNDO
take back my action,UNDO
undo my last modification,UNDO
back out of last operation,UNDO
go back one change,UNDO
revert to earlier version,UNDO
undo that step I did,UNDO
undo what I just changed,UNDO
reverse what I did last,UNDO
remove previous entry,UNDO
undo my previous move,UNDO
undo my last adjustment,UNDO
revert that mistake,UNDO
undo one operation,UNDO
go back one command,UNDO
undo my last typing,UNDO
revert to old state,UNDO
undo my last update,UNDO
reverse recent action,UNDO
remove the last change,UNDO
revert the previous step,UNDO
undo my latest edit,UNDO
undo that last command,UNDO
reverse my edit,UNDO
take back that last thing,UNDO
undo the edit I made,UNDO
undo my previous update,UNDO
cancel what I just did,UNDO
go back to before change,UNDO
undo one step back,UNDO
revert my last correction,UNDO
reverse that last click,UNDO
undo what I just entered,UNDO
undo my latest modification,UNDO
undo the last input,UNDO
undo what I changed,UNDO
revert to before this,UNDO
undo one modification,UNDO
remove that recent update,UNDO
undo that edit,UNDO
reverse that input,UNDO
undo what I modified,UNDO
cancel that operation,UNDO
undo the step I took,UNDO
undo that previous change,UNDO
revert my edit,UNDO
undo the most recent change,UNDO
take back my last action,UNDO
undo my last save,UNDO
reverse that recent change,UNDO
go back to previous step,UNDO
undo the thing I did,UNDO
undo one last time,UNDO
revert last correction,UNDO
undo previous modification,UNDO
undo latest change,UNDO
undo the last operation,UNDO
revert one step back,UNDO
undo my last command,UNDO
take back what happened,UNDO
undo that last operation,UNDO
undo this last change,UNDO
revert to old version,UNDO
undo what I saved,UNDO
undo the latest update,UNDO
reverse the last edit,UNDO
go back to the last version,UNDO
undo what I modified last,UNDO
undo that click,UNDO
revert to last known state,UNDO
undo previous entry,UNDO
reverse the last thing I did,UNDO
undo one change,UNDO
undo my latest command,UNDO
revert to prior version,UNDO
undo that modification,UNDO
undo previous update,UNDO
revert my last modification,UNDO
reverse what was changed,UNDO
undo my last operation,UNDO
undo this change I made,UNDO
undo the recent step,UNDO
undo that change I did,UNDO
go back a version,UNDO
undo my prior edit,UNDO
reverse what I just did,UNDO
undo what I just changed,UNDO
undo my edit,UNDO
cancel my last change,UNDO
undo my last step,UNDO
undo the action I performed,UNDO
undo the most recent edit,UNDO
revert the last adjustment,UNDO
reverse that change I made,UNDO
undo my correction,UNDO
undo recent modification,UNDO
undo last edit I did,UNDO
go back before this,UNDO
undo the update I made,UNDO
reverse the update,UNDO
undo my latest action,UNDO
revert my recent change,UNDO
undo that last update I did,UNDO
take back my correction,UNDO
undo the recent change,UNDO
undo what I just entered,UNDO
revert my latest modification,UNDO
undo that action I made,UNDO
undo recent edit,UNDO
undo what I just typed,UNDO
reverse last operation,UNDO
undo one last edit,UNDO
revert to before update,UNDO
undo my previous edit,UNDO
undo that last entry,UNDO
undo my prior update,UNDO
undo one step back,UNDO
undo that recent edit,UNDO
undo what I just saved,UNDO
reverse that last change I made,UNDO
undo the last modification I did,UNDO
revert one operation,UNDO
undo the edit I just did,UNDO
go back one version,UNDO
undo recent change I made,UNDO
undo my last input,UNDO
undo the last thing entered,UNDO
undo my change,UNDO
undo last command I made,UNDO
revert my last update,UNDO
reverse what I just changed,UNDO
undo that recent change,UNDO
