input_variation,output_class
Return,GO_BACK
Navigate back,GO_BACK
Go to previous screen,GO_BACK
Take me back,GO_BACK
Back up,GO_BACK
Reverse direction,GO_BACK
Go to the last page,GO_BACK
Step back,GO_BACK
Return to previous,GO_BACK
Previous screen,GO_BACK
Go to prior,GO_BACK
Undo last navigation,GO_BACK
Back out,GO_BACK
Move back,GO_BACK
Go to the previous view,GO_BACK
One step back,GO_BACK
Go backwards,GO_BACK
Backward,GO_BACK
Return to the last screen,GO_BACK
Go to the previous,GO_BACK
Return previous,GO_BACK
Previous view,GO_BACK
Go to the prior screen,GO_BACK
Take me to the previous page,GO_BACK
Go back one,GO_BACK
Back a page,GO_BACK
Return to the previous view,GO_BACK
Go back to where I was,GO_BACK
Revert,GO_BACK
Previous section,GO_BACK
Go to the last view,GO_BACK
Backtrack,GO_BACK
Navigate to the previous page,GO_BACK
Go back one step,GO_BACK
Return to the prior screen,GO_BACK
Back to the previous,GO_BACK
Previous state,GO_BACK
Go to the former page,GO_BACK
Move to previous,GO_BACK
Go to the page before,GO_BACK
Go back to the last screen,GO_BACK
Return to the earlier page,GO_BACK
Previous location,GO_BACK
Go to the preceding page,GO_BACK
Back up a page,GO_BACK
Return to the previous location,GO_BACK
Go back one screen,GO_BACK
Back to last,GO_BACK
Return to previous section,GO_BACK
Go back to the prior view,GO_BACK
Backward one step,GO_BACK
Navigate to the last page,GO_BACK
Go back a screen,GO_BACK
Return to previous state,GO_BACK
Back to the last screen,GO_BACK
Previous context,GO_BACK
Go back to the last visited page,GO_BACK
Return to the original screen,GO_BACK
Previous entry,GO_BACK
Go to the former view,GO_BACK
Move back a step,GO_BACK
Go to the page just before,GO_BACK
Return to previous context,GO_BACK
Back one screen,GO_BACK
Previous position,GO_BACK
Go to the screen before,GO_BACK
Navigate to the prior view,GO_BACK
Go back to the last context,GO_BACK
Return to the earlier view,GO_BACK
Previous point,GO_BACK
Go to the page I was just on,GO_BACK
Move back one page,GO_BACK
Go to the previous tab,GO_BACK
Return to prior location,GO_BACK
Back out of this,GO_BACK
Previous window,GO_BACK
Go to the screen I just left,GO_BACK
Navigate to previous state,GO_BACK
Go back to the last page I saw,GO_BACK
Return to previous tab,GO_BACK
Back to previous window,GO_BACK
Go to the earlier screen,GO_BACK
Move to the previous view,GO_BACK
Go to the last active page,GO_BACK
Return to prior window,GO_BACK
Previous panel,GO_BACK
Go back a panel,GO_BACK
Navigate to the previous panel,GO_BACK
Go back one tab,GO_BACK
Return to the prior tab,GO_BACK
Back to the previous panel,GO_BACK
Previous form,GO_BACK
Go back from here,GO_BACK
Return to the previous form,GO_BACK
Go back,GO_BACK
Back,GO_BACK
Previous page,GO_BACK
Previous view,GO_BACK
Previous screen,GO_BACK
Move back,GO_BACK
