input_variation,output_class
Show next,NEXT_ITEM
Go forward one item,NEXT_ITEM
Move down,NEXT_ITEM
Display next item,NEXT_ITEM
Navigate to next,NEXT_ITEM
Forward,NEXT_ITEM
Return to next item,NEXT_ITEM
Scroll down,NEXT_ITEM
Go to the one after,NEXT_ITEM
Next one,NEXT_ITEM
Show me the next item,NEXT_ITEM
Move to next,NEXT_ITEM
Subsequent,NEXT_ITEM
Ahead,NEXT_ITEM
Next entry,NEXT_ITEM
Go forward a step,NEXT_ITEM
Down one,NEXT_ITEM
Go to the next item in the list,NEXT_ITEM
Following item,NEXT_ITEM
Forward one,NEXT_ITEM
Show the item after,NEXT_ITEM
Move to the item below,NEXT_ITEM
Next in line,NEXT_ITEM
Go to the subsequent item,NEXT_ITEM
Succeeding item,NEXT_ITEM
Display the next,NEXT_ITEM
Take me to the next,NEXT_ITEM
Move down one,NEXT_ITEM
After,NEXT_ITEM
One forward,NEXT_ITEM
Next record,NEXT_ITEM
Go to next one,NEXT_ITEM
Show the item following this,NEXT_ITEM
Move to the item that comes after,NEXT_ITEM
Get next,NEXT_ITEM
Show me the one after,NEXT_ITEM
Later item,NEXT_ITEM
Forwards,NEXT_ITEM
Go to the item just after,NEXT_ITEM
Next selection,NEXT_ITEM
Show the next in order,NEXT_ITEM
Move down a notch,NEXT_ITEM
The one after,NEXT_ITEM
Go ahead an item,NEXT_ITEM
Next page,NEXT_ITEM
Display the succeeding,NEXT_ITEM
Navigate forward,NEXT_ITEM
Down a level,NEXT_ITEM
Following record,NEXT_ITEM
Step forward,NEXT_ITEM
Show following item,NEXT_ITEM
Move to the later item,NEXT_ITEM
Go to the next one,NEXT_ITEM
Next choice,NEXT_ITEM
Display the next entry,NEXT_ITEM
Take me to the next available,NEXT_ITEM
Scroll forward,NEXT_ITEM
Go down,NEXT_ITEM
Show me the next selection,NEXT_ITEM
The item after this one,NEXT_ITEM
Go to the next displayed item,NEXT_ITEM
Move ahead,NEXT_ITEM
Next element,NEXT_ITEM
Forward to the next,NEXT_ITEM
Show the item that is next,NEXT_ITEM
Move to the succeeding item,NEXT_ITEM
Go to next item,NEXT_ITEM
Down arrow,NEXT_ITEM
Next context,NEXT_ITEM
Display the next instance,NEXT_ITEM
Go to the later one,NEXT_ITEM
Show next record,NEXT_ITEM
Move to the item immediately after,NEXT_ITEM
Succeeding element,NEXT_ITEM
Go to a subsequent item,NEXT_ITEM
One item down,NEXT_ITEM
Next instance,NEXT_ITEM
Show the item after this,NEXT_ITEM
Move to the newer item,NEXT_ITEM
Jump to next,NEXT_ITEM
Go to the next entry,NEXT_ITEM
Forward a slide,NEXT_ITEM
Show the element after,NEXT_ITEM
Move to the newer item in the list,NEXT_ITEM
Go to next,NEXT_ITEM
Next arrow,NEXT_ITEM
Next entry in the list,NEXT_ITEM
Display the next instance,NEXT_ITEM
Go to the item after this one,NEXT_ITEM
Show next view,NEXT_ITEM
Move down in the list,NEXT_ITEM
Next one please,NEXT_ITEM
Next object,NEXT_ITEM
Go to the following,NEXT_ITEM
Show the object after,NEXT_ITEM
Next,ITEM_NEXT
Next item,ITEM_NEXT
Down,ITEM_NEXT
Go next,ITEM_NEXT
Proced to the next,ITEM_NEXT
