input_variation,output_class
Locate,SEARCH
Search a keyword,SEARCH
Find something,SEARCH
Look up,SEARCH
Query,SEARCH
Search this,SEARCH
Find for me,SEARCH
Look for an item,SEARCH
Seek,SEARCH
Search a term,SEARCH
Find data,SEARCH
Look it up,SEARCH
Research,SEARCH
Search everything,SEARCH
Find that,SEARCH
Look for details,SEARCH
Scout,SEARCH
Search content,SEARCH
Find what I'm looking for,SEARCH
Look into,SEARCH
Investigate,SEARCH
Search by keyword,SEARCH
Find info,SEARCH
Look something up,SEARCH
Hunt for,SEARCH
Search the database,SEARCH
Find entries,SEARCH
Look for specific,SEARCH
Explore,SEARCH
Search for data,SEARCH
Find matching,SEARCH
Look for a keyword,SEARCH
Dig for,SEARCH
Search within,SEARCH
Find results,SEARCH
Look for a term,SEARCH
Browse for,SEARCH
Search the web,SEARCH
Find an item,SEARCH
Look for information,SEARCH
Discover,SEARCH
Search relevant,SEARCH
Find data for,SEARCH
Look for something,SEARCH
Examine,SEARCH
Search by term,SEARCH
Find specifics,SEARCH
Look for results,SEARCH
Retrieve,SEARCH
Search a query,SEARCH
Find entries for,SEARCH
Look for a person,SEARCH
Track down,SEARCH
Search a phrase,SEARCH
Find objects,SEARCH
Look for a place,SEARCH
Pinpoint,SEARCH
Search for information,SEARCH
Find details about,SEARCH
Look for an idea,SEARCH
Detect,SEARCH
Search for content,SEARCH
Find something specific,SEARCH
Look for a topic,SEARCH
Scan for,SEARCH
Search for data on,SEARCH
Find records,SEARCH
Look for a file,SEARCH
Uncover,SEARCH
Search for terms,SEARCH
Find documents,SEARCH
Look for a document,SEARCH
Identify,SEARCH
Search for phrases,SEARCH
Find files,SEARCH
Look for a photo,SEARCH
Delve into,SEARCH
Search for entries,SEARCH
Find pages,SEARCH
Look for a video,SEARCH
Cross-reference,SEARCH
Search for results,SEARCH
Find the item,SEARCH
Look for a specific piece of information,SEARCH
Check for,SEARCH
Search for articles,SEARCH
Find article,SEARCH
Look for relevant data,SEARCH
Peruse for,SEARCH
Search for anything,SEARCH
Find the details,SEARCH
Look for the content,SEARCH
Gather information,SEARCH
Search all,SEARCH
Find records for,SEARCH
Find,SEARCH
Search for,SEARCH
Search,SEARCH
Search for item,SEARCH
Look for,SEARCH
