input_variation,output_class
Make item,CREATE_ITEM
Generate item,CREATE_ITEM
Form new item,CREATE_ITEM
Add a new item,CREATE_ITEM
Produce item,CREATE_ITEM
Build item,CREATE_ITEM
Start new item,CREATE_ITEM
Insert item,CREATE_ITEM
Compose item,CREATE_ITEM
Design item,CREATE_ITEM
Create a new item,CREATE_ITEM
Put in item,CREATE_ITEM
Develop item,CREATE_ITEM
Forge item,CREATE_ITEM
Begin new item,CREATE_ITEM
New entry,CREATE_ITEM
Construct item,CREATE_ITEM
Fashion item,CREATE_ITEM
Initiate new item,CREATE_ITEM
Add an entry,CREATE_ITEM
Establish item,CREATE_ITEM
Conceive item,CREATE_ITEM
Start an item,CREATE_ITEM
Create entry,CREATE_ITEM
Draft item,CREATE_ITEM
Invent item,CREATE_ITEM
Implement new item,CREATE_ITEM
Add a record,CREATE_ITEM
Set up item,CREATE_ITEM
Engineer item,CREATE_ITEM
Open new item,CREATE_ITEM
Create record,CREATE_ITEM
Add another item,CREATE_ITEM
Add an item entry,CREATE_ITEM
Form an item,CREATE_ITEM
New item creation,CREATE_ITEM
Insert new item,CREATE_ITEM
Add an item item,CREATE_ITEM
Make a new item,CREATE_ITEM
Generate an item,CREATE_ITEM
Start a new item,CREATE_ITEM
Create an item entry,CREATE_ITEM
Put a new item,CREATE_ITEM
Add new content,CREATE_ITEM
Form an item,CREATE_ITEM
Build an item,CREATE_ITEM
New item creation,CREATE_ITEM
Insert an item,CREATE_ITEM
Add an item to the list,CREATE_ITEM
Make an item,CREATE_ITEM
Produce an item,CREATE_ITEM
Begin an item,CREATE_ITEM
Create a new record,CREATE_ITEM
Add another item,CREATE_ITEM
Add item please,CREATE_ITEM
Form a new item,CREATE_ITEM
Create an item,CREATE_ITEM
Start new record,CREATE_ITEM
Insert the item,CREATE_ITEM
Add a piece of content,CREATE_ITEM
Make an item,CREATE_ITEM
Generate an item,CREATE_ITEM
Begin a new item,CREATE_ITEM
Create a record for,CREATE_ITEM
Add a fresh item,CREATE_ITEM
Add item entry,CREATE_ITEM
Form a new item,CREATE_ITEM
Build an item,CREATE_ITEM
New entry creation,CREATE_ITEM
Insert new record,CREATE_ITEM
Add an item entry,CREATE_ITEM
Make a new item,CREATE_ITEM
Produce an item,CREATE_ITEM
Start a new entry,CREATE_ITEM
Create a data item,CREATE_ITEM
Put an item,CREATE_ITEM
Add an instance,CREATE_ITEM
Form an entry,CREATE_ITEM
Build an entry,CREATE_ITEM
New record,CREATE_ITEM
Insert an item,CREATE_ITEM
Add a new item instance,CREATE_ITEM
Make an entry,CREATE_ITEM
Generate an entry,CREATE_ITEM
Begin an item,CREATE_ITEM
Create a specific item,CREATE_ITEM
Put in an item,CREATE_ITEM
Add new data,CREATE_ITEM
Form a record,CREATE_ITEM
Build a record,CREATE_ITEM
New item here,CREATE_ITEM
Insert the item,CREATE_ITEM
Add a new data item,CREATE_ITEM
Make a record,CREATE_ITEM
Produce a record,CREATE_ITEM
Start item creation,CREATE_ITEM
Create an object,CREATE_ITEM
Add item,CREATE_ITEM
Create item,CREATE_ITEM
Add item,CREATE_ITEM
